,CODGEO\DEP,medecins,population,FCA,desert_medical
214,77226,0.0,2518.0,4.116549774807538e-05,False
215,77227,0.0,615.0,3.083660048365635e-05,True
216,77228,0.0,257.0,3.408979132530349e-05,False
217,77229,0.0,1646.0,4.126820929613825e-05,False
218,77230,0.0,160.0,3.4511802165721585e-05,False
219,77231,0.0,819.0,3.725557361170836e-05,False
220,77232,0.0,1145.0,4.3819651674868265e-05,False
221,77233,0.0,596.0,4.130800480363087e-05,False
222,77234,0.0,702.0,4.546791964648667e-05,False
223,77235,0.0,317.0,3.592072913036926e-05,False
224,77236,0.0,345.0,2.9857310566049798e-05,True
225,77237,2.0,640.0,5.59467619242553e-05,False
226,77238,0.0,4345.0,3.595204105374355e-05,False
227,77239,0.0,1504.0,3.3613098445202746e-05,True
228,77240,0.0,2212.0,3.361550851298659e-05,True
229,77241,0.0,2018.0,4.418846137399864e-05,False
230,77242,0.0,532.0,2.8845694645965622e-05,True
231,77243,2.0,21139.0,5.516849867952988e-05,False
232,77244,0.0,697.0,3.743397434805093e-05,False
233,77245,0.0,403.0,3.4374842666769005e-05,False
234,77246,0.0,583.0,3.376894872228018e-05,True
235,77247,0.0,441.0,3.2925062162811574e-05,True
236,77248,0.0,776.0,4.367641005363234e-05,False
237,77249,0.0,7125.0,6.015908815803511e-05,False
238,77250,0.0,163.0,3.115357136820375e-05,True
239,77251,9.0,13804.0,8.680792441246255e-05,False
240,77252,0.0,564.0,5.212231084066471e-05,False
241,77253,0.0,315.0,4.8760967158187285e-05,False
242,77254,0.0,1295.0,4.553310410734105e-05,False
243,77255,0.0,2207.0,5.4437634075652987e-05,False
244,77256,0.0,187.0,3.0364151690998554e-05,True
245,77257,0.0,3529.0,3.511066162329377e-05,False
246,77258,0.0,14388.0,6.218142193654548e-05,False
247,77259,0.0,2303.0,4.821619979708598e-05,False
248,77260,0.0,1778.0,2.9042166290198846e-05,True
249,77261,0.0,1208.0,3.2375838303070625e-05,True
250,77262,0.0,497.0,3.4217942114562234e-05,False
251,77263,0.0,232.0,2.7880260970814356e-05,True
252,77264,0.0,1512.0,3.8411606227212055e-05,False
253,77265,0.0,1092.0,3.5016230427129056e-05,False
254,77266,0.0,785.0,3.833888949104049e-05,False
255,77267,0.0,355.0,3.692242032040804e-05,False
256,77268,0.0,9082.0,4.42067505794055e-05,False
257,77269,0.0,1819.0,5.268352457267478e-05,False
258,77270,0.0,954.0,3.80430073046671e-05,False
259,77271,0.0,137.0,3.5618121457299015e-05,False
260,77272,0.0,861.0,3.1200529067807576e-05,True
261,77273,0.0,594.0,4.400801251208256e-05,False
262,77274,0.0,449.0,3.8923510087704246e-05,False
263,77275,0.0,150.0,3.196085952443211e-05,True
264,77276,1.0,3306.0,4.7264458177672845e-05,False
265,77277,0.0,1798.0,4.048929227333528e-05,False
266,77278,0.0,415.0,3.502544295664077e-05,False
267,77279,0.0,1832.0,3.407459353646215e-05,False
268,77280,0.0,1095.0,3.5125943520904235e-05,False
269,77281,0.0,472.0,3.5675687287009605e-05,False
270,77282,0.0,365.0,5.130618621205474e-05,False
271,77283,0.0,923.0,3.9178415198660246e-05,False
272,77284,5.0,55709.0,5.5972402502240046e-05,False
273,77285,0.0,20677.0,6.163678278073504e-05,False
274,77286,0.0,231.0,2.9977812051529574e-05,True
275,77287,0.0,499.0,3.365394903906334e-05,True
276,77288,15.0,41609.0,9.233899845215979e-05,False
277,77289,0.0,351.0,3.322787461285404e-05,True
278,77290,0.0,684.0,3.3996606504000164e-05,False
279,77291,0.0,1041.0,5.242568760802788e-05,False
280,77292,0.0,1210.0,4.794326486902351e-05,False
281,77293,0.0,894.0,3.344623878940458e-05,True
282,77294,1.0,20620.0,5.681812269487382e-05,False
283,77295,0.0,1379.0,4.5811794586629626e-05,False
